fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
373,97032,2015/16,55,56,130,3060,3,0,10,36,0,0,0,2,0,0,16,713,0.0,0.0,0.0,0.0,0,0,0,0,0
373,97032,2016/17,55,56,75,1852,1,0,7,23,0,0,0,3,1,0,14,435,546.2,81.1,232.0,86.0,0,0,0,0,0
373,97032,2017/18,55,57,78,2253,0,0,8,28,0,0,0,1,0,0,5,481,601.0,122.6,277.0,100.2,0,0,0,0,0
373,97032,2018/19,60,67,208,3384,4,4,20,22,0,0,0,1,0,0,22,932,993.6,111.1,455.0,156.1,0,0,0,0,0
373,97032,2019/20,65,65,178,3420,5,2,15,33,0,0,0,1,0,0,14,804,930.2,152.4,467.0,154.8,0,0,0,0,0
373,97032,2020/21,65,62,15,370,1,0,1,11,0,0,0,1,0,0,1,73,82.4,4.8,66.0,15.3,0,0,0,0,0
373,97032,2021/22,65,68,183,3060,3,3,21,21,0,0,0,3,0,0,13,803,726.4,150.3,455.0,133.1,0,0,0,0,0
373,97032,2022/23,65,66,127,2835,3,1,11,36,0,0,0,3,0,0,13,636,743.2,121.0,389.0,125.4,0,0,0,0,32
373,97032,2023/24,60,66,117,3177,2,2,9,40,0,0,0,3,1,0,8,662,911.2,176.3,449.0,153.8,0,0,0,0,36
373,97032,2024/25,60,67,143,3330,3,1,14,38,0,0,0,5,0,0,8,631,932.6,206.6,299.0,143.7,0,0,0,300,37
