team_fpl_id,team_opta_id,team_name,team_short_name,note_index,info_message,source_link,external_link,last_updated
1,3,Arsenal,ARS,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
2,7,Aston Villa,AVL,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
3,91,Bournemouth,BOU,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
4,94,Brentford,BRE,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
5,36,Brighton,BHA,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
6,8,Chelsea,CHE,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
7,9,Coventry City,COV,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
8,31,Crystal Palace,CRY,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
9,11,Everton,EVE,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
10,54,Fulham,FUL,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
11,88,Hull City,HUL,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
12,40,Ipswich Town,IPS,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
13,2,Leeds,LEE,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
14,14,Liverpool,LIV,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
15,43,Man City,MCI,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
16,1,Man Utd,MUN,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
17,4,Newcastle,NEW,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
18,17,Nott'm Forest,NFO,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
19,6,Spurs,TOT,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
20,56,Sunderland,SUN,1,Check back for additional notes soon,,True,2026-09-01T11:18:50Z
